altura,radio,densidad,densidad_volumetrica,vs,delta_mic,delta_bulk,amp_mic,amp_bulk,densidad_nominal,Niter
10.0,2.0,0.7875,0.7861,0.25,2.9303095879809016,0.0,136527038818.76674,1198660734357.5454,0.8,4
10.0,2.0,0.0973,0.0991,0.25,11.721238351923606,-0.8372313108516862,17205586347.182224,1214490592202.2527,0.1,5
10.0,2.0,0.1869,0.1885,0.25,10.046775730220235,-0.8372313108516862,32739669031.681767,1213308055152.771,0.2,5
10.0,2.0,0.306,0.3046,0.25,8.790928763942706,-0.4186156554258431,52891610937.233734,1211401529955.418,0.3,5
10.0,2.0,0.4004,0.4017,0.25,7.5350817976651765,-0.4186156554258431,69767428852.84785,1209735562220.0154,0.4,5
10.0,2.0,0.4989,0.4979,0.25,6.69785048681349,-0.4186156554258431,86465108406.94423,1207869549329.433,0.5,5
10.0,2.0,0.595,0.5886,0.25,5.442003520535961,-0.4186156554258431,102232597398.50665,1205725482008.565,0.6,5
10.0,2.0,0.7103,0.7145,0.25,3.7675408988325882,0.0,124098610642.65842,1201919260743.0247,0.7,5
10.0,2.0,0.7866,0.7846,0.25,2.9303095879809016,0.0,136270249000.12476,1198331754931.8813,0.8,5
10.0,2.0,0.0998,0.0984,0.25,11.721238351923606,-0.8372313108516862,17090962619.224178,1214481389094.6848,0.1,6
10.0,2.0,0.1875,0.187,0.25,10.465391385646077,-0.8372313108516862,32481657797.379025,1213246801790.785,0.2,6
10.0,2.0,0.3034,0.3046,0.25,9.209544419368548,-0.4186156554258431,52900268494.19487,1211473032848.087,0.3,6
10.0,2.0,0.3935,0.4004,0.25,7.5350817976651765,-0.4186156554258431,69532629995.71054,1209810531554.2173,0.4,6
10.0,2.0,0.4979,0.4954,0.25,6.2792348313876465,-0.4186156554258431,86045233021.74246,1207818952061.6616,0.5,6
10.0,2.0,0.5876,0.5859,0.25,5.442003520535961,-0.4186156554258431,101751499820.75525,1205804038531.8845,0.6,6
10.0,2.0,0.7102,0.7136,0.25,3.7675408988325882,0.0,123933653850.42755,1201935567687.2666,0.7,6
10.0,2.0,0.7956,0.7848,0.25,2.9303095879809016,0.0,136301061006.17589,1198410396292.4177,0.8,6
10.0,2.0,0.0981,0.0987,0.25,11.302622696497764,-0.8372313108516862,17145195426.26651,1214507427321.735,0.1,7
10.0,2.0,0.1848,0.1872,0.25,10.046775730220235,-0.8372313108516862,32511664402.432987,1213359757240.6194,0.2,7
10.0,2.0,0.3085,0.3039,0.25,9.209544419368548,-0.4186156554258431,52786011668.594284,1211398124627.4404,0.3,7
10.0,2.0,0.4098,0.4066,0.25,7.5350817976651765,-0.4186156554258431,70614608670.71791,1209668285829.104,0.4,7
10.0,2.0,0.5024,0.5041,0.25,6.69785048681349,-0.4186156554258431,87540758778.50299,1207684870130.2104,0.5,7
10.0,2.0,0.5837,0.5848,0.25,5.442003520535961,-0.4186156554258431,101557753405.4244,1205945511921.3013,0.6,7
10.0,2.0,0.7132,0.7156,0.25,3.7675408988325882,0.0,124292040859.54453,1201894475853.1162,0.7,7
10.0,2.0,0.7906,0.7887,0.25,2.9303095879809016,0.0,136983764293.62253,1198805547821.0706,0.8,7
10.0,2.0,0.0977,0.0981,0.25,11.721238351923606,-0.8372313108516862,17036568033.735388,1214520257678.407,0.1,8
10.0,2.0,0.1831,0.1879,0.25,10.465391385646077,-0.8372313108516862,32627530221.196342,1213304201364.3943,0.2,8
10.0,2.0,0.3029,0.3022,0.25,9.209544419368548,-0.8372313108516862,52480511448.65103,1211451872396.216,0.3,8
