h;r;d;p;;;;
128;10;40;0.2257;20.5122;1.1857;21.3494;0.8372
128;10;34;0.3205;18.0005;2.1261;19.6749;1.6745
128;10;30;0.4051;15.9074;2.7362;18.4191;2.5117
128;10;26;0.5284;14.6515;2.6009;17.5819;2.9303
128;10;22;0.756;7.5351;4.8493;14.2329;6.6979
128;20;126;0.092;21.3494;0.7404;21.3494;0
128;20;110;0.121;21.3494;0.6455;20.9308;-0.4186
128;20;98;0.1517;20.9308;0.588;20.9308;0
128;20;86;0.1986;20.5122;0.5352;20.5122;0
128;20;72;0.2832;18.8377;1.3658;18.8377;0
128;20;62;0.3775;18.0005;3.3597;18.8377;0.8372
128;20;54;0.498;15.0702;2.8789;17.5819;2.5117
128;20;48;0.627;11.3026;2.5963;16.7446;5.442
128;20;42;0.836;7.5351;3.6744;14.2329;6.6979
128;30;126;0.2059;19.6749;1.237;19.2563;-0.4186
128;30;110;0.2706;19.2563;1.0697;18.8377;-0.4186
128;30;98;0.3395;18.0005;0.9698;18.0005;0
128;30;86;0.4444;17.1632;0.8787;17.1632;0
128;30;72;0.6335;9.6282;2.3719;13.3957;3.7675
128;30;62;0.8447;5.0234;7.2724;12.5585;7.5351
128;40;126;0.3658;18.0005;1.8052;17.1632;-0.8372
128;40;122;0.3885;17.5819;1.7393;16.7446;-0.8372
128;40;118;0.4174;17.1632;1.664;16.326;-0.8372
128;40;108;0.4949;15.4888;1.5199;15.4888;0
128;40;100;0.5775;12.5585;1.4127;14.6515;2.0931
128;40;94;0.6598;11.3026;1.3335;13.8143;2.5117
128;40;88;0.7512;10.0468;1.2694;12.5585;2.5117
128;40;82;0.8629;5.442;1.8881;10.4654;5.0234
128;50;126;0.5723;14.2329;2.5465;14.2329;0
128;50;122;0.6078;12.9771;2.4405;13.8143;0.8372
128;50;116;0.6776;10.0468;2.2648;12.9771;2.9303
128;50;110;0.7522;5.8606;2.127;11.7212;5.8606
128;50;102;0.8757;3.3489;1.9589;10.0468;6.6979
128;60;126;0.8231;4.1862;3.6559;10.0468;5.8606
128;60;124;0.852;3.7675;3.5422;9.6282;5.8606
128;60;122;0.8741;3.3489;3.4728;9.6282;6.2792
