altura,radio,densidad,densidad_volumetrica,distancia,vs,delta_mic,delta_bulk,amp_mic,amp_bulk,densidad_nominal,Niter
10.0,2.0,0.3095,0.321,7.0,0.25,12.558469662775293,-0.4186156554258431,12860468452.359272,302924431287.0609,0.3,12
10.0,2.0,0.3095,0.3248,7.0,0.25,12.558469662775293,-0.4186156554258431,13014636106.494698,302927552125.1181,0.3,13
10.0,2.0,0.3095,0.3246,7.0,0.25,12.977085318201137,-0.4186156554258431,13006743935.38937,302925158545.1944,0.3,14
10.0,2.0,0.3095,0.3226,7.0,0.25,12.558469662775293,-0.4186156554258431,12924145858.739822,302926340044.09894,0.3,15
10.0,2.0,0.3095,0.3254,7.0,0.25,12.558469662775293,-0.4186156554258431,13037699261.322989,302919770577.2665,0.3,16
10.0,2.0,0.3095,0.3208,7.0,0.25,12.977085318201137,-0.4186156554258431,12853680601.910786,302924370196.2611,0.3,17
10.0,2.0,0.3095,0.3261,7.0,0.25,12.977085318201137,-0.4186156554258431,13064844417.388044,302918715393.4624,0.3,18
10.0,2.0,0.3095,0.3226,7.0,0.25,12.977085318201137,-0.4186156554258431,12924950478.94951,302925228031.7216,0.3,19
10.0,2.0,0.4127,0.4115,6.0,0.25,11.721238351923606,-0.4186156554258431,16489399712.499928,302578767552.5725,0.4,0
10.0,2.0,0.4127,0.4067,6.0,0.25,11.302622696497764,-0.4186156554258431,16296175480.046339,302582697205.4304,0.4,1
10.0,2.0,0.4127,0.4208,6.0,0.25,11.302622696497764,-0.4186156554258431,16859424423.68459,302580476589.8401,0.4,2
10.0,2.0,0.4127,0.4184,6.0,0.25,11.302622696497764,-0.4186156554258431,16762876790.20269,302581617789.5123,0.4,3
10.0,2.0,0.4127,0.4087,6.0,0.25,11.302622696497764,-0.4186156554258431,16373552480.200897,302581919101.82263,0.4,4
10.0,2.0,0.4127,0.4154,6.0,0.25,11.721238351923606,-0.4186156554258431,16643187159.583529,302579910087.4254,0.4,5
10.0,2.0,0.4127,0.4182,6.0,0.25,11.302622696497764,-0.4186156554258431,16757489985.114334,302582693334.5658,0.4,6
10.0,2.0,0.4127,0.4134,6.0,0.25,10.884007041071921,-0.4186156554258431,16561952553.757492,302583275251.39813,0.4,7
10.0,2.0,0.4127,0.4139,6.0,0.25,11.302622696497764,-0.4186156554258431,16583454527.256517,302581004272.2073,0.4,8
10.0,2.0,0.4127,0.4167,6.0,0.25,11.302622696497764,-0.4186156554258431,16695591080.980194,302577994595.8764,0.4,9
10.0,2.0,0.4127,0.4028,6.0,0.25,11.721238351923606,-0.4186156554258431,16138036468.87692,302582115852.24384,0.4,10
10.0,2.0,0.4127,0.4139,6.0,0.25,11.721238351923606,-0.4186156554258431,16582069316.455616,302581175379.3815,0.4,11
10.0,2.0,0.4127,0.4064,6.0,0.25,11.302622696497764,-0.4186156554258431,16281655688.109243,302577987545.6008,0.4,12
10.0,2.0,0.4127,0.4102,6.0,0.25,11.302622696497764,-0.4186156554258431,16434222656.681086,302583589248.3103,0.4,13
10.0,2.0,0.4127,0.4122,6.0,0.25,11.302622696497764,-0.4186156554258431,16513931218.948013,302575559470.7227,0.4,14
10.0,2.0,0.4127,0.4208,6.0,0.25,11.302622696497764,-0.4186156554258431,16860311961.205584,302580557711.58685,0.4,15
10.0,2.0,0.4127,0.4215,6.0,0.25,10.884007041071921,-0.4186156554258431,16886319904.79103,302578446156.811,0.4,16
10.0,2.0,0.4127,0.4105,6.0,0.25,10.884007041071921,-0.4186156554258431,16449084585.442312,302583866021.8068,0.4,17
10.0,2.0,0.4127,0.4077,6.0,0.25,11.302622696497764,-0.4186156554258431,16333509562.633633,302585292758.69946,0.4,18
10.0,2.0,0.4127,0.4149,6.0,0.25,11.302622696497764,-0.4186156554258431,16624947835.102661,302582532774.5892,0.4,19
10.0,2.0,0.4976,0.4767,5.5,0.25,10.046775730220235,-0.4186156554258431,17426574035.734226,302444407019.2704,0.5,0
10.0,2.0,0.4976,0.4827,5.5,0.25,10.046775730220235,-0.4186156554258431,17645143947.06098,302443938462.0364,0.5,1
10.0,2.0,0.4976,0.4821,5.5,0.25,10.046775730220235,-0.4186156554258431,17622646152.219604,302446118151.90515,0.5,2
10.0,2.0,0.4976,0.496,5.5,0.25,9.62816007479439,-0.4186156554258431,18129284477.67057,302446730993.5054,0.5,3
10.0,2.0,0.4976,0.4861,5.5,0.25,10.046775730220235,-0.4186156554258431,17768523363.519215,302442372340.956,0.5,4
10.0,2.0,0.4976,0.4904,5.5,0.25,10.046775730220235,-0.4186156554258431,17925230215.54785,302442740145.3007,0.5,5
10.0,2.0,0.4976,0.4841,5.5,0.25,10.046775730220235,-0.4186156554258431,17694979634.68111,302443048683.34576,0.5,6
10.0,2.0,0.4976,0.4849,5.5,0.25,10.046775730220235,-0.4186156554258431,17724252743.17152,302445569224.90375,0.5,7
10.0,2.0,0.4976,0.4908,5.5,0.25,10.046775730220235,-0.4186156554258431,17940549821.14279,302440769173.694,0.5,8
